Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
LANA,SHA-256D,PoW/PoS,1082162635.53683,7506000000.0,-0.280954373127657,1.868598866827126,-0.5613511902315805,LanaCoin,3
ELE,Ethash,PoW,26205539.0,26205539.0,-0.16433977604807756,-1.96330285150399,0.32937718527175847,Elementrem,0
ZCL,Equihash,PoW,5613550.0,21000000.0,-0.15451971758611222,-2.106660361927146,0.31848397168882864,ZClassic,0
ARK,DPoS,DPoS,108202084.0,125000000.0,3.7244417488897876,1.7725436718718117,0.12604136388525422,ARK,3
INSANE,X11,PoW/PoS,18342813.0,30000000.0,-0.3895814091716784,1.1787595527560542,-0.4062369096954762,InsaneCoin,3
KLC,Scrypt,PoW,196297971.0,10000000000.0,-0.09626458819786887,-1.1297617759667689,0.00224310589574751,KiloCoin,0
ATX,X11,PoW,824000000.0,500000000.0,-0.20803484719169296,-0.9336087279569047,0.02432498947089944,ArtexCoin,0
EMB,X13,PoW/PoS,92192822723.0,850000000.0,0.8567063829751633,1.7852234653858168,-0.5044978180742327,EmberCoin,3
XEN,X11,PoW/PoS,3853326.77707314,3853326.77707314,-0.3899438186136294,1.17876607612781,-0.40622968056820136,XenixCoin,3
FRE,PoS,PoS,50000000.0,50000000.0,-0.3518094845367835,1.5530799709231022,-0.08901350195018842,FreeCoin,3
PLNC,Scrypt,PoW/PoS,17089600.0,38540000.0,-0.3374684936038855,0.9872640030709824,-0.4274424067787247,PLNCoin,3
ARCO,Scrypt,PoW/PoS,2449577.41533168,42000000.0,-0.3376227839416951,0.9872566998154755,-0.42743844689913785,AquariusCoin,3
KURT,X11,PoW,61364813.0,228000000.0,-0.21927930784468946,-0.9337788662342482,0.024581889779536608,Kurrent,0
XCRE,PoS,PoS,20000000.0,20000000.0,-0.35238868031942966,1.5530822533988113,-0.08900123586359987,Creatio,3
ENT,X11,PoW/PoS,6069482.07721352,60000000.0,-0.3895185801228347,1.178740828053823,-0.4062366232617176,Eternity,3
EUC,SHA-256,PoW/PoS,12416554.0,20000000.0,-0.3149912069687746,0.809422117426745,-0.2849242724072508,Eurocoin,3
BCF,Scrypt,PoW/PoS,20244023.640728,33000000.0,-0.33746924978568915,0.9872678062672122,-0.42744272333835476,BitcoinFast,3
XSN,X11,TPoS,75590369.0,76500000.0,-0.3311069480611988,0.5233267863139719,-0.3432970227415469,Stakenet,3
BCCOIN,Scrypt,PoW/PoS,11080722.3769581,28000000.0,-0.33761663694375993,0.9872665673623802,-0.42743944275198087,BitConnect Coin,3
MONEY,Scrypt,PoW/PoS,10914418.0,650659833.0,-0.33320303038492766,0.9869769453917346,-0.427509089211687,MoneyCoin,3
XNG,X11,PoW/PoS,814671.0,5000000.0,-0.3899728039325202,1.1787643610008711,-0.4062289066285083,Enigma,3
XCI,CryptoNight,PoW,978145.0,21000000.0,0.30869918001519014,-2.2690049822579916,0.32090955917475233,Cannabis Industry Coin,0
RC,Scrypt,PoW/PoS,8377873.0,144000000.0,-0.33682702959709765,0.9872115722757685,-0.4274516243401118,Russiacoin,3
PND,Scrypt,PoS,33813143821.8337,32514916898.0,0.3496071014743747,0.8008011937015707,-0.20872470243908933,PandaCoin,3
UNITS,Scrypt,PoW/PoS,3472983.0,13000000.0,-0.33781593872190674,0.9872705838225332,-0.4274355047451279,GameUnits,3
GAKH,Scrypt,PoW/PoS,3315789.0,3315789.0,-0.33788653513307165,0.9872750261582667,-0.4274343740909179,GAKHcoin,3
ASAFE2,Quark,PoS,10517772.7391666,15000000.0,-0.3578215990612175,1.4793615728226266,-0.13796574650696872,Allsafe,3
LTCR,QuBit,PoW/PoS,30227750.0,78835200.0,-0.3579649340845981,0.6145683162661765,-0.31870424876827097,LiteCreed,3
OS76,Scrypt,PoW,894026.0,2714286.0,-0.1695479243692664,-1.1251887119731236,0.0034201492764830456,OsmiumCoin,0
BIC,CryptoNight,PoW,9357088.0,25000000.0,0.308829894700761,-2.2690035833967097,0.3209066234258991,Bikercoins,0
HXX,Lyra2RE,PoW,1876146.443596,9999999.0,-0.15062251904238175,-2.2019718634412553,0.3279789885864574,HexxCoin,0
KED,Scrypt,PoW/PoS,23965372.0,500000000.0,-0.3341120288765696,0.9870520833386435,-0.4274961007996659,Klingon Empire Darsek,3
IOP,SHA-256,PoW/PoS,2526078.47525448,21000000.0,-0.31510492708509935,0.8094178054900414,-0.28492144749056947,Internet of People,3
KUSH,X11,PoW/PoS,5659096.95728771,9354000.0,-0.389882752788106,1.178764220488907,-0.40623083247220404,KushCoin,3
PRX,Scrypt,PoW/PoS,11821728.0,20000000.0,-0.3376643181830341,0.9872705758396965,-0.42743876732442954,Printerium,3
PAC,X11,PoW,536982074.0,100000000000.0,0.49407080372875,-0.9799911338153435,0.013272936803615845,PacCoin,0
IMPCH,Scrypt,PoW/PoS,308179.0,21933333.0,-0.33779124526538723,0.9872651985774895,-0.427435564927266,Impeach,3
CTL,CryptoNight-V7,PoW,10969318.522954,185000000.0,-0.15743907535390902,-2.171302298127926,0.3741870140374163,Citadel,0
ZBC,Scrypt,PoS,2922613.96424908,55000000.0,-0.2935750340892614,0.8027456247748838,-0.19505187528025647,Zilbercoin,3
FRST,Scrypt,PoW/PoS ,110000000.0,110000000.0,-0.29507221406214773,0.12132469439670826,-0.24331358989731405,FirstCoin,3
BVC,Scrypt,PoW,3115258.0,3360000.0,-0.169516212997377,-1.1251881483024093,0.0034194174339405095,BeaverCoin,0
FIND,X13,PoS,14524851.4827,14524851.4827,-0.23122220913663716,1.5652539947037882,-0.2446449775153269,FindCoin,3
VLTC,X11,PoW,30385540.0,1000000000.0,-0.2141830234694661,-0.9341499210054038,0.024504676822395665,VaultCoin,0
ZER,Equihash,PoW,6921653.89980891,17000000.0,-0.15453210545289076,-2.1066579930082234,0.31848403099405503,Zero,0
CHAT,Scrypt,PoW/PoS,1000000000.0,1000000000.0,-0.3186440254116969,0.9871991959081688,-0.4278418879187104,OpenChat,3
CDN,Scrypt,PoW,99843408.3158479,100000000.0,-0.16764935356428218,-1.125195466631404,0.003379878105243334,Canada eCoin,0
ZOI,Lyra2RE,PoW,18545757.5,21000000.0,-0.1503408932179603,-2.201970495152322,0.32797280750339,Zoin,0
RNS,Scrypt,PoS,36050365.0,34426423.0,-0.2933162792133982,0.8027680772144494,-0.19505940928770968,RenosCoin,3
DBIX,Dagger-Hashimoto,PoW,2232901.0,2232901.0,-0.13047395104990434,-2.3072673822406244,0.4024501169799603,DubaiCoin,0
XVP,X11,PoW/PoS,13162749.0858027,100000000.0,-0.38914827326327955,1.1787249856678237,-0.4062432068139276,VirtacoinPlus,3
